Date;USA Standard (Large+Mid Cap)
Dec 31, 1969;100.000
Jan 30, 1970;92.886
Feb 27, 1970;98.130
Mar 31, 1970;98.729
Apr 30, 1970;90.200
May 29, 1970;85.125
Jun 30, 1970;81.667
Jul 31, 1970;87.823
Aug 31, 1970;91.445
Sep 30, 1970;94.574
Oct 30, 1970;93.910
Nov 30, 1970;99.080
Dec 31, 1970;104.830
Jan 29, 1971;109.712
Feb 26, 1971;110.885
Mar 31, 1971;115.446
Apr 30, 1971;119.987
May 31, 1971;115.381
Jun 30, 1971;116.229
Jul 30, 1971;112.147
Aug 31, 1971;116.828
Sep 30, 1971;115.434
Oct 29, 1971;111.371
Nov 30, 1971;111.897
Dec 31, 1971;118.976
Jan 31, 1972;121.455
Feb 29, 1972;124.948
Mar 31, 1972;126.991
Apr 28, 1972;127.288
May 31, 1972;127.239
Jun 30, 1972;125.054
Jul 31, 1972;124.441
Aug 31, 1972;129.073
Sep 29, 1972;129.375
Oct 31, 1972;131.162
Nov 30, 1972;136.315
Dec 29, 1972;138.685
Jan 31, 1973;135.496
Feb 28, 1973;129.271
Mar 30, 1973;127.862
Apr 30, 1973;123.065
May 31, 1973;121.224
Jun 29, 1973;121.493
Jul 31, 1973;126.387
Aug 31, 1973;122.291
Sep 28, 1973;126.776
Oct 31, 1973;127.435
Nov 30, 1973;114.036
Dec 31, 1973;116.157
Jan 31, 1974;114.282
Feb 28, 1974;114.270
Mar 29, 1974;111.590
Apr 30, 1974;107.411
May 31, 1974;104.200
Jun 28, 1974;102.561
Jul 31, 1974;94.530
Aug 30, 1974;86.081
Sep 30, 1974;76.191
Oct 31, 1974;89.746
Nov 29, 1974;85.702
Dec 31, 1974;84.012
Jan 31, 1975;94.945
Feb 28, 1975;100.942
Mar 31, 1975;103.442
Apr 30, 1975;108.144
May 30, 1975;113.121
Jun 30, 1975;118.595
Jul 31, 1975;110.687
Aug 29, 1975;108.301
Sep 30, 1975;104.554
Oct 31, 1975;111.787
Nov 28, 1975;115.207
Dec 31, 1975;114.104
Jan 30, 1976;127.461
Feb 27, 1976;126.193
Mar 31, 1976;130.651
Apr 30, 1976;129.331
May 31, 1976;127.993
Jun 30, 1976;133.733
Jul 30, 1976;133.060
Aug 31, 1976;132.995
Sep 30, 1976;136.431
Oct 29, 1976;133.951
Nov 30, 1976;133.468
Dec 31, 1976;140.630
Jan 31, 1977;133.864
Feb 28, 1977;131.223
Mar 31, 1977;129.807
Apr 29, 1977;130.303
May 31, 1977;127.953
Jun 30, 1977;134.267
Jul 29, 1977;132.697
Aug 31, 1977;130.304
Sep 30, 1977;130.472
Oct 31, 1977;125.160
Nov 30, 1977;128.508
Dec 30, 1977;129.353
Jan 31, 1978;121.914
Feb 28, 1978;119.291
Mar 31, 1978;122.298
Apr 28, 1978;133.960
May 31, 1978;134.608
Jun 30, 1978;132.576
Jul 31, 1978;140.702
Aug 31, 1978;144.507
Sep 29, 1978;143.978
Oct 31, 1978;131.816
Nov 30, 1978;134.563
Dec 29, 1978;137.066
Jan 31, 1979;143.397
Feb 28, 1979;138.508
Mar 30, 1979;146.444
Apr 30, 1979;146.503
May 31, 1979;143.722
Jun 29, 1979;149.302
Jul 31, 1979;151.002
Aug 31, 1979;158.520
Sep 28, 1979;158.296
Oct 31, 1979;148.176
Nov 30, 1979;154.339
Dec 31, 1979;156.871
Jan 31, 1980;166.343
Feb 29, 1980;164.679
Mar 31, 1980;150.127
Apr 30, 1980;156.657
May 30, 1980;164.213
Jun 30, 1980;169.553
Jul 31, 1980;180.816
Aug 29, 1980;182.070
Sep 30, 1980;186.663
Oct 31, 1980;191.383
Nov 28, 1980;211.350
Dec 31, 1980;204.002
Jan 30, 1981;196.434
Feb 27, 1981;200.605
Mar 31, 1981;207.305
Apr 30, 1981;203.476
May 29, 1981;202.915
Jun 30, 1981;202.518
Jul 31, 1981;204.017
Aug 31, 1981;192.382
Sep 30, 1981;183.347
Oct 30, 1981;192.458
Nov 30, 1981;200.892
Dec 31, 1981;195.580
Jan 29, 1982;193.369
Feb 26, 1982;183.389
Mar 31, 1982;182.399
Apr 30, 1982;190.406
May 31, 1982;184.098
Jun 30, 1982;181.792
Jul 30, 1982;178.554
Aug 31, 1982;200.536
Sep 30, 1982;203.196
Oct 29, 1982;225.851
Nov 30, 1982;234.640
Dec 31, 1982;238.888
Jan 31, 1983;248.474
Feb 28, 1983;253.785
Mar 31, 1983;262.619
Apr 29, 1983;283.293
May 31, 1983;278.964
Jun 30, 1983;289.822
Jul 29, 1983;280.481
Aug 31, 1983;286.262
Sep 30, 1983;290.035
Oct 31, 1983;286.821
Nov 30, 1983;293.048
Dec 30, 1983;291.501
Jan 31, 1984;288.315
Feb 29, 1984;276.421
Mar 30, 1984;281.595
Apr 30, 1984;284.581
May 31, 1984;268.699
Jun 29, 1984;274.478
Jul 31, 1984;272.413
Aug 31, 1984;302.067
Sep 28, 1984;302.595
Oct 31, 1984;304.195
Nov 30, 1984;301.281
Dec 31, 1984;308.921
Jan 31, 1985;333.786
Feb 28, 1985;337.785
Mar 29, 1985;338.745
Apr 30, 1985;338.042
May 31, 1985;359.024
Jun 28, 1985;364.338
Jul 31, 1985;363.296
Aug 30, 1985;360.048
Sep 30, 1985;348.707
Oct 31, 1985;364.583
Nov 29, 1985;389.965
Dec 31, 1985;410.105
Jan 31, 1986;412.709
Feb 28, 1986;443.997
Mar 31, 1986;468.801
Apr 30, 1986;462.301
May 30, 1986;485.082
Jun 30, 1986;491.419
Jul 31, 1986;465.208
Aug 29, 1986;499.603
Sep 30, 1986;457.133
Oct 31, 1986;483.078
Nov 28, 1986;494.433
Dec 31, 1986;481.976
Jan 30, 1987;545.985
Feb 27, 1987;565.593
Mar 31, 1987;580.841
Apr 30, 1987;575.593
May 29, 1987;578.843
Jun 30, 1987;608.817
Jul 31, 1987;637.762
Aug 31, 1987;662.893
Sep 30, 1987;648.760
Oct 30, 1987;511.075
Nov 30, 1987;467.875
Dec 31, 1987;500.821
Jan 29, 1988;522.273
Feb 29, 1988;544.140
Mar 31, 1988;525.935
Apr 29, 1988;530.765
May 31, 1988;535.331
Jun 30, 1988;560.250
Jul 29, 1988;558.518
Aug 31, 1988;539.784
Sep 30, 1988;562.850
Oct 31, 1988;580.103
Nov 30, 1988;571.162
Dec 30, 1988;580.518
Jan 31, 1989;624.690
Feb 28, 1989;605.958
Mar 31, 1989;619.615
Apr 28, 1989;653.282
May 31, 1989;678.503
Jun 30, 1989;675.979
Jul 31, 1989;737.954
Aug 31, 1989;749.128
Sep 29, 1989;747.547
Oct 31, 1989;730.628
Nov 30, 1989;745.749
Dec 29, 1989;762.584
Jan 31, 1990;713.133
Feb 28, 1990;723.758
Mar 30, 1990;740.920
Apr 30, 1990;725.864
May 31, 1990;793.009
Jun 29, 1990;790.122
Jul 31, 1990;788.972
Aug 31, 1990;716.853
Sep 28, 1990;683.662
Oct 31, 1990;681.623
Nov 30, 1990;726.455
Dec 31, 1990;746.708
Jan 31, 1991;782.388
Feb 28, 1991;836.520
Mar 29, 1991;856.964
Apr 30, 1991;860.373
May 31, 1991;896.179
Jun 28, 1991;855.168
Jul 31, 1991;895.261
Aug 30, 1991;917.013
Sep 30, 1991;901.496
Oct 31, 1991;917.089
Nov 29, 1991;880.074
Dec 31, 1991;980.630
Jan 31, 1992;964.318
Feb 28, 1992;975.390
Mar 31, 1992;957.436
Apr 30, 1992;985.481
May 29, 1992;989.539
Jun 30, 1992;974.462
Jul 31, 1992;1,015.136
Aug 31, 1992;990.832
Sep 30, 1992;1,001.632
Oct 30, 1992;1,007.776
Nov 30, 1992;1,041.304
Dec 31, 1992;1,052.826
Jan 29, 1993;1,062.116
Feb 26, 1993;1,076.114
Mar 31, 1993;1,098.308
Apr 30, 1993;1,074.114
May 31, 1993;1,101.624
Jun 30, 1993;1,105.089
Jul 30, 1993;1,103.940
Aug 31, 1993;1,143.856
Sep 30, 1993;1,132.651
Oct 29, 1993;1,152.626
Nov 30, 1993;1,144.907
Dec 31, 1993;1,158.852
Jan 31, 1994;1,201.082
Feb 28, 1994;1,167.437
Mar 31, 1994;1,117.015
Apr 29, 1994;1,133.025
May 31, 1994;1,152.004
Jun 30, 1994;1,119.778
Jul 29, 1994;1,157.778
Aug 31, 1994;1,203.548
Sep 30, 1994;1,178.293
Oct 31, 1994;1,205.588
Nov 30, 1994;1,164.663
Dec 30, 1994;1,182.011
Jan 31, 1995;1,214.883
Feb 28, 1995;1,263.074
Mar 31, 1995;1,297.222
Apr 28, 1995;1,338.256
May 31, 1995;1,390.833
Jun 30, 1995;1,425.372
Jul 31, 1995;1,474.114
Aug 31, 1995;1,474.553
Sep 29, 1995;1,541.034
Oct 31, 1995;1,540.647
Nov 30, 1995;1,608.724
Dec 29, 1995;1,633.386
Jan 31, 1996;1,692.017
Feb 29, 1996;1,709.998
Mar 29, 1996;1,727.687
Apr 30, 1996;1,753.610
May 31, 1996;1,800.809
Jun 28, 1996;1,811.811
Jul 31, 1996;1,732.479
Aug 30, 1996;1,771.655
Sep 30, 1996;1,871.283
Oct 31, 1996;1,919.512
Nov 29, 1996;2,064.995
Dec 31, 1996;2,026.293
Jan 31, 1997;2,165.497
Feb 28, 1997;2,181.224
Mar 31, 1997;2,084.009
Apr 30, 1997;2,221.712
May 30, 1997;2,347.995
Jun 30, 1997;2,455.442
Jul 31, 1997;2,650.060
Aug 29, 1997;2,493.214
Sep 30, 1997;2,623.869
Oct 31, 1997;2,552.820
Nov 28, 1997;2,676.920
Dec 31, 1997;2,716.982
Jan 30, 1998;2,752.480
Feb 27, 1998;2,946.083
Mar 31, 1998;3,099.360
Apr 30, 1998;3,136.193
May 29, 1998;3,073.750
Jun 30, 1998;3,206.355
Jul 31, 1998;3,175.110
Aug 31, 1998;2,733.618
