Date;WORLD ex USA Standard (Large+Mid Cap)
Dec 31, 1969;100.000
Jan 30, 1970;97.904
Feb 27, 1970;96.689
Mar 31, 1970;96.679
Apr 30, 1970;86.578
May 29, 1970;80.234
Jun 30, 1970;81.144
Jul 31, 1970;84.385
Aug 31, 1970;86.080
Sep 30, 1970;88.778
Oct 30, 1970;86.409
Nov 30, 1970;83.545
Dec 31, 1970;86.589
Jan 29, 1971;90.707
Feb 26, 1971;91.875
Mar 31, 1971;96.647
Apr 30, 1971;98.807
May 31, 1971;99.667
Jun 30, 1971;101.472
Jul 30, 1971;104.117
Aug 31, 1971;102.567
Sep 30, 1971;102.361
Oct 29, 1971;98.213
Nov 30, 1971;100.082
Dec 31, 1971;115.422
Jan 31, 1972;123.937
Feb 29, 1972;131.589
Mar 31, 1972;133.029
Apr 28, 1972;138.234
May 31, 1972;147.748
Jun 30, 1972;142.808
Jul 31, 1972;151.819
Aug 31, 1972;153.755
Sep 29, 1972;146.441
Oct 31, 1972;146.288
Nov 30, 1972;158.479
Dec 29, 1972;162.011
Jan 31, 1973;169.463
Feb 28, 1973;186.922
Mar 30, 1973;191.163
Apr 30, 1973;178.183
May 31, 1973;181.378
Jun 29, 1973;183.997
Jul 31, 1973;184.209
Aug 31, 1973;174.330
Sep 28, 1973;177.634
Oct 31, 1973;181.112
Nov 30, 1973;151.552
Dec 31, 1973;144.720
Jan 31, 1974;151.352
Feb 28, 1974;157.554
Mar 29, 1974;153.503
Apr 30, 1974;156.095
May 31, 1974;147.912
Jun 28, 1974;140.404
Jul 31, 1974;136.480
Aug 30, 1974;122.321
Sep 30, 1974;115.306
Oct 31, 1974;115.243
Nov 29, 1974;119.034
Dec 31, 1974;117.906
Jan 31, 1975;137.848
Feb 28, 1975;154.706
Mar 31, 1975;153.033
Apr 30, 1975;158.979
May 30, 1975;158.705
Jun 30, 1975;153.785
Jul 31, 1975;148.061
Aug 29, 1975;147.367
Sep 30, 1975;140.120
Oct 31, 1975;150.089
Nov 28, 1975;153.897
Dec 31, 1975;156.535
Jan 30, 1976;165.216
Feb 27, 1976;164.937
Mar 31, 1976;161.919
Apr 30, 1976;161.767
May 31, 1976;157.971
Jun 30, 1976;159.976
Jul 30, 1976;157.832
Aug 31, 1976;157.415
Sep 30, 1976;154.998
Oct 29, 1976;145.844
Nov 30, 1976;145.607
Dec 31, 1976;162.094
Jan 31, 1977;160.718
Feb 28, 1977;164.093
Mar 31, 1977;164.558
Apr 29, 1977;168.445
May 31, 1977;167.618
Jun 30, 1977;171.691
Jul 29, 1977;169.424
Aug 31, 1977;175.644
Sep 30, 1977;180.871
Oct 31, 1977;183.746
Nov 30, 1977;183.353
Dec 30, 1977;190.488
Jan 31, 1978;191.856
Feb 28, 1978;193.898
Mar 31, 1978;207.476
Apr 28, 1978;206.297
May 31, 1978;211.288
Jun 30, 1978;219.942
Jul 31, 1978;238.923
Aug 31, 1978;243.918
Sep 29, 1978;251.237
Oct 31, 1978;263.600
Nov 30, 1978;241.712
Dec 29, 1978;253.537
Jan 31, 1979;255.649
Feb 28, 1979;255.336
Mar 30, 1979;262.648
Apr 30, 1979;262.413
May 31, 1979;258.924
Jun 29, 1979;264.487
Jul 31, 1979;266.098
Aug 31, 1979;274.890
Sep 28, 1979;288.304
Oct 31, 1979;264.600
Nov 30, 1979;270.611
Dec 31, 1979;281.276
Jan 31, 1980;298.846
Feb 29, 1980;302.693
Mar 31, 1980;265.243
Apr 30, 1980;289.120
May 30, 1980;304.397
Jun 30, 1980;324.169
Jul 31, 1980;324.373
